Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
16:54:05 Jan 08 2024,99,79,0,0,0
16:54:09 Jan 08 2024,99,77,0,0,0
16:54:13 Jan 08 2024,99,77,1,0,0
16:54:17 Jan 08 2024,99,77,0,0,0
16:54:21 Jan 08 2024,99,78,0,0,0
16:54:25 Jan 08 2024,99,79,0,0,0
16:54:29 Jan 08 2024,99,79,0,0,0
16:54:33 Jan 08 2024,99,81,0,0,0
16:54:37 Jan 08 2024,99,80,0,0,0
16:54:41 Jan 08 2024,99,80,0,0,0
16:54:45 Jan 08 2024,99,81,0,0,0
16:54:49 Jan 08 2024,99,83,1,0,0
16:54:53 Jan 08 2024,99,82,0,0,0
16:54:57 Jan 08 2024,99,82,1,0,0
16:55:01 Jan 08 2024,99,80,0,0,0
16:55:05 Jan 08 2024,99,78,0,0,0
16:55:09 Jan 08 2024,99,77,0,0,0
16:55:13 Jan 08 2024,99,77,0,0,0
16:55:17 Jan 08 2024,99,77,0,0,0
16:55:21 Jan 08 2024,99,76,0,0,0
16:55:25 Jan 08 2024,99,75,0,0,0
16:55:29 Jan 08 2024,99,75,0,0,0
16:55:33 Jan 08 2024,99,76,0,0,0
16:55:37 Jan 08 2024,99,73,0,0,0
16:55:41 Jan 08 2024,99,73,0,0,0
16:55:45 Jan 08 2024,99,74,0,0,0
16:55:49 Jan 08 2024,99,76,0,0,0
16:55:53 Jan 08 2024,99,75,0,0,0
16:55:57 Jan 08 2024,99,75,0,0,0
16:56:01 Jan 08 2024,99,77,0,0,0
16:56:05 Jan 08 2024,99,76,0,0,0
16:56:09 Jan 08 2024,99,76,0,0,0
16:56:13 Jan 08 2024,99,75,0,0,0
16:56:17 Jan 08 2024,99,75,0,0,0
16:56:21 Jan 08 2024,99,74,0,0,0
16:56:25 Jan 08 2024,99,74,0,0,0
16:56:29 Jan 08 2024,98,73,0,0,0
16:56:33 Jan 08 2024,98,75,0,0,0
16:56:37 Jan 08 2024,98,75,6,0,0
16:56:41 Jan 08 2024,98,75,2,0,0
16:56:45 Jan 08 2024,98,75,0,0,0
